"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","16-MAY-17","15-MAY-17","23:50:00Z","SEWARD","NEBRASKA","UNITED STATES","AIRCRAFT FORCE LANDED IN A FIELD, 7 MILES FROM SEWARD, NE","INCIDENT","LINCOLN","N9530P","","","PIPER","PA25","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAY-17","15-MAY-17","19:30:00Z","CARSDADT","NEW JERSEY","UNITED STATES","AIRCRAFT ON APPROACH TO LAND CRASHED 1/2 MILE FROM END OF THE  RUNWAY INTO COMMERCIAL BUILDINGS AND VEHICLES AND CAUGHT FIRE, THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NO GROUND INJURIES REPORTED, CARSDADT, NJ","ACCIDENT","TETERBORO","N452DA","","","GATES LEARJET","35A","No","DESTROYED","UNKNOWN","APPROACH (APR)","","FATAL","Yes","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-17","07-MAY-17","14:10:00Z","BIG RAPIDS","MICHIGAN","UNITED STATES","AIRCRAFT WENT OFF THE SIDE OF THE RUNWAY INTO THE GRASS, BIG RAPIDS, MI","INCIDENT","GRAND RAPIDS","N873SL","","","CESSNA","C185","No","UNKNOWN","UNKNOWN","UNKNOWN (UNK)","","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-17","07-MAY-17","19:36:00Z","WATERLOO","ILLINOIS","UNITED STATES","N993YC OH58 ROTORCRAFT DURING AERIAL APPLICATION, STRUCK POWERLINES AND FORCE LANDED, NEAR WATERLOO, IL","INCIDENT","SAINT LOUIS","N993YC","","KLINKENBORG AERIAL SPRAYING AND SEEDING","ROTORCRAFT DEVELOPMENT CORP","OH58A","No","UNKNOWN","AERIAL APPLICATION","UNKNOWN (UNK)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","12:04:00Z","LOCKESBURG","ARKANSAS","UNITED STATES","AMERICAN AIRLINES FLIGHT AAL2549 BOEING 737 AIRCRAFT, REGISTRATION NOT REPORTED, EXECUTED A RAPID DESCENT DUE TO LOSS OF PRESSURIZATION, 16 PERSONS ON BOARD SUSTAINED UNKNOWN INJURIES, LANDED WITHOUT INCIDENT DALLAS-FORT WORTH, TX","INCIDENT","DALLAS","AAL2549","AAL2549","AMERICAN AIRLINES","BOEING","B737","No","NONE","COMMERCIAL","EMERGENCY DESCENT (EMG)","121","UNKNOWN","No","0","0","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","16:00:00Z","NAPA","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES ON THE SHORELINE OF LAKE BERRYESSA, THE 2 PERSONS ON BOARD WERE FATALLY INJURED, NEAR NAPA, CA","ACCIDENT","SACRAMENTO","N184BA","","","ICON","A5","No","SUBSTANTIAL","UNKNOWN","UNKNOWN (UNK)","","FATAL","Yes","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","08-MAY-17","14:45:00Z","BEECH GROVE","ARKANSAS","UNITED STATES","AIRCRAFT ON TAKEOFF, WENT OFF THE RUNWAY AND CAUGHT FIRE, BEECH GROVE, AR","ACCIDENT","LITTLE ROCK","N171BW","","","GRUMMAN","G164C","No","DESTROYED","AERIAL APPLICATION","TAKEOFF (TOF)","","UNKNOWN","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-17","06-MAY-17","01:00:00Z","PEDRO BAY","ALASKA","UNITED STATES","AIRCRAFT ON TAKEOFF STRUCK A BOULDER AND WENT OFF THE RUNWAY AREA, 7 MILES FROM PEDRO BAY, ALASKA","ACCIDENT","ANCHORAGE","N9510K","","","STINSON","108-2","No","SUBSTANTIAL","UNKNOWN","TAKEOFF (TOF)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","17-MAY-17","13-MAY-17","18:46:00Z","SAN DIEGO","CALIFORNIA","UNITED STATES","AIRCRAFT ON APPROACH, STRUCK A BIRD DAMAGING THE WINDSHIELD, NO INJURIES, SAN DIEGO, CA","INCIDENT","SAN DIEGO","N5477L","","","GRUMMAN","AA5","No","UNKNOWN","OTHER","APPROACH (APR)","","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","17-MAY-17","16-MAY-17","12:30:00Z","MONTICELLO","NEW YORK","UNITED STATES","AIRCRAFT ON LANDING ON A RACE TRACK, WENT OFF THE PAVEMENT AND STRUCK A BERM, MONTICELLO, NY","INCIDENT","ALBANY","N2242Y","","","CIRRUS","SR22","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
